SampleID,sq1,sq110,sq13,sq157,sq184,sq2,sq3,sq315,sq316,sq317,sq323,sq326,sq329,sq5,sq6,sq7,sq9
Order1.Plate1.A1,67168,0,0,0,0,1292,0,0,0,0,0,0,0,0,0,0,217
Order1.Plate1.A10,201393,0,0,0,0,9876,0,0,0,0,0,0,0,0,0,0,1086
Order1.Plate1.A11,19747,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0
Order1.Plate1.A12,105850,0,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0
Order1.Plate1.A2,193281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5882
Order1.Plate1.A3,157412,57,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,47
Order1.Plate1.A4,111602,0,0,0,0,2004,0,0,0,0,0,0,0,110402,0,0,47
Order1.Plate1.A5,12916,0,0,0,0,194,0,0,0,0,0,0,0,10034,0,0,0
Order1.Plate1.A6,144281,0,0,0,0,4316,0,0,0,0,0,0,0,0,0,0,66
Order1.Plate1.A7,167067,0,0,0,0,2234,0,0,0,0,0,0,0,0,0,0,0
Order1.Plate1.A8,221323,0,0,0,17,1561,0,0,0,0,0,0,0,0,0,0,3807
Order1.Plate1.A9,197057,12,0,0,0,3833,0,0,0,0,0,0,0,0,0,0,65
Order1.Plate1.B1,165672,0,0,0,0,2007,0,0,0,0,0,0,0,0,0,0,0
Order1.Plate1.B10,269731,0,0,0,0,15890,0,0,0,0,0,0,0,0,0,0,200
Order1.Plate1.B11,24008,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0
Order1.Plate1.B12,56002,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,0
Order1.Plate1.B2,88179,0,0,0,15,204,0,0,0,0,0,0,0,0,0,0,1964
Order1.Plate1.B3,22909,0,0,0,0,836,0,0,0,0,0,0,0,0,0,0,0
Order1.Plate1.B4,24168,0,0,0,0,1048,0,0,0,0,0,0,0,21638,0,0,0
Order1.Plate1.B5,29127,0,0,0,0,2681,0,0,0,0,0,0,0,0,0,0,17
Order1.Plate1.B6,85320,0,0,0,0,5828,0,0,0,0,0,0,0,0,0,0,0
Order1.Plate1.B7,96075,0,0,0,0,721,0,0,0,0,0,0,0,0,0,0,0
Order1.Plate1.B8,148580,0,0,0,4,7877,0,0,0,0,0,0,0,0,0,0,2838
Order1.Plate1.B9,119502,20,0,0,0,3379,0,0,0,0,0,0,0,0,0,0,39
Order1.Plate1.C1,88624,0,0,0,0,3206,0,0,0,0,0,0,0,0,0,0,147
Order1.Plate1.C10,91567,0,0,0,0,4780,0,0,0,0,0,0,0,0,0,0,76
Order1.Plate1.C11,26977,0,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0
Order1.Plate1.C12,42181,0,0,0,0,1776,0,0,0,0,0,0,0,0,0,0,30
Order1.Plate1.C2,27555,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,1613
Order1.Plate1.C3,26733,0,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,0
Order1.Plate1.C4,10602,0,0,0,0,987,0,0,0,0,0,0,0,9003,0,0,35
Order1.Plate1.C5,15973,0,0,0,0,2932,0,0,0,0,0,0,0,0,0,0,43
Order1.Plate1.C6,40843,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0
Order1.Plate1.C7,74888,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0
Order1.Plate1.C8,133221,0,0,0,0,1547,0,0,0,0,0,0,0,0,0,0,2010
Order1.Plate1.C9,206110,99,0,0,0,4126,0,0,0,0,0,0,0,0,0,0,41
Order1.Plate1.D1,37601,0,0,0,0,11109,0,0,0,0,0,0,0,0,0,0,575
