SampleID,Name,SampleName,Species,Time1,CT,Time,Site,LTER,Reef Type,fullset,first3,dinoRNAVamp,C15,sym_over5,sym_over1,gerakladium
Order1.Plate1.A1,Order1-Plate1-A1,POR2_0818,POR,818,POR2,2018August,FOR1,1,FOR,no,no,No,0.143803844,yes,yes,0
Order1.Plate1.A2,Order1-Plate1-A2,POR3_0818,POR,818,POR3,2018August,FOR0,0,FOR,no,no,No,1,yes,yes,0
Order1.Plate1.A3,Order1-Plate1-A3,POR4_0818,POR,818,POR4,2018August,FOR1,1,FOR,yes,yes,yes,0.038461538,no,yes,0
Order1.Plate1.A4,Order1-Plate1-A4,POR5_0818,POR,818,POR5,2018August,FOR0,0,FOR,yes,yes,yes,0.022915651,no,yes,0
Order1.Plate1.A5,Order1-Plate1-A5,POR6_0818,POR,818,POR6,2018August,FOR0,0,FOR,no,no,yes,0,no,no,0
Order1.Plate1.A6,Order1-Plate1-A6,POR8_0818,POR,818,POR8,2018August,FOR2,2,FOR,yes,yes,yes,0.015061616,no,yes,0
Order1.Plate1.A7,Order1-Plate1-A7,POR10_0818,POR,818,POR10,2018August,FOR1,1,FOR,yes,yes,yes,0,no,no,0
Order1.Plate1.A8,Order1-Plate1-A8,POR14_0818,POR,818,POR14,2018August,FOR0,0,FOR,no,no,No,0.706963788,yes,yes,0.003156917
Order1.Plate1.A9,Order1-Plate1-A9,POR16_0818,POR,818,POR16,2018August,FOR0,0,FOR,no,no,No,0.016675218,no,yes,0
Order1.Plate1.A10,Order1-Plate1-A10,POR22_0818,POR,818,POR22,2018August,FOR0,0,FOR,no,no,yes,0.099069513,yes,yes,0
Order1.Plate1.A11,Order1-Plate1-A11,POR25_0818,POR,818,POR25,2018August,FOR1,1,FOR,yes,yes,yes,0,no,no,0
Order1.Plate1.A12,Order1-Plate1-A12,POR54_0818,POR,818,POR54,2018August,BAK0,0,BAK,yes,yes,yes,0,no,no,0
Order1.Plate1.B1,Order1-Plate1-B1,POR2_0319,POR,319,POR2,2019March,FOR1,1,FOR,no,no,No,0,no,no,0
Order1.Plate1.B2,Order1-Plate1-B2,POR3_0319,POR,319,POR3,2019March,FOR0,0,FOR,no,no,No,0.89967934,yes,yes,0.006871278
Order1.Plate1.B3,Order1-Plate1-B3,POR4_0319,POR,319,POR4,2019March,FOR1,1,FOR,yes,yes,yes,0,no,no,0
Order1.Plate1.B4,Order1-Plate1-B4,POR5_0319,POR,319,POR5,2019March,FOR0,0,FOR,yes,yes,yes,0,no,no,0
Order1.Plate1.B5,Order1-Plate1-B5,POR6_0319,POR,319,POR6,2019March,FOR0,0,FOR,no,no,yes,0.006300964,no,no,0
Order1.Plate1.B6,Order1-Plate1-B6,POR8_0319,POR,319,POR8,2019March,FOR2,2,FOR,yes,yes,yes,0,no,no,0
Order1.Plate1.B7,Order1-Plate1-B7,POR10_0319,POR,319,POR10,2019March,FOR1,1,FOR,yes,yes,yes,0,no,no,0
Order1.Plate1.B8,Order1-Plate1-B8,POR14_0319,POR,319,POR14,2019March,FOR0,0,FOR,no,no,No,0.264763504,yes,yes,0.000373169
Order1.Plate1.B9,Order1-Plate1-B9,POR16_0319,POR,319,POR16,2019March,FOR0,0,FOR,no,no,No,0.011410181,no,yes,0
Order1.Plate1.B10,Order1-Plate1-B10,POR22_0319,POR,319,POR22,2019March,FOR0,0,FOR,no,no,No,0.012430081,no,yes,0
Order1.Plate1.B11,Order1-Plate1-B11,POR25_0319,POR,319,POR25,2019March,FOR1,1,FOR,yes,yes,yes,0,no,no,0
Order1.Plate1.B12,Order1-Plate1-B12,POR54_0319,POR,319,POR54,2019March,BAK0,0,BAK,yes,yes,yes,0,no,no,0
Order1.Plate1.C1,Order1-Plate1-C1,POR2_0819,POR,819,POR2,2019August,FOR1,1,FOR,no,no,No,0.043841336,no,yes,0
