,Location,SampleID.1,Time,X,Year,Stress.Year,CT,CT_2,Site,LTER,Reef.Type,Time2,Final.Health,ZooxDensity
POR10_0319,B12,POR10_0319,2019March,2019-03,2019Y,thermal.stress,POR10,POR10,FOR1,1,FOR,319,yes,NA
POR10_0818,A12,POR10_0818,2018August,2018-08,2018Y,normal,POR10,POR10,FOR1,1,FOR,818,yes,NA
POR10_0819,C12,POR10_0819,2019August,2019-08,2019Y,thermal.stress,POR10,POR10,FOR1,1,FOR,819,yes,NA
POR10_1020,D12,POR10_1020,2020October,2020-10,2020Y,normal,POR10,POR10,FOR1,1,FOR,1020,yes,NA
POR107_0319,F9_S,POR107_0319,2019March,2019-03,2019Y,thermal.stress,POR107,POR107,BAK2,2,BAK,319,yes,NA
POR107_0818,E9_S,POR107_0818,2018August,2018-08,2018Y,normal,POR107,POR107,BAK2,2,BAK,818,yes,NA
POR107_0819,G9_S,POR107_0819,2019August,2019-08,2019Y,thermal.stress,POR107,POR107,BAK2,2,BAK,819,yes,NA
POR107_1020,H9_S,POR107_1020,2020October,2020-10,2020Y,normal,POR107,POR107,BAK2,2,BAK,1020,yes,NA
POR110_0319,B9_S,POR110_0319,2019March,2019-03,2019Y,thermal.stress,POR110,POR110,BAK2,2,BAK,319,no,NA
POR110_0818,A9_S,POR110_0818,2018August,2018-08,2018Y,normal,POR110,POR110,BAK2,2,BAK,818,no,NA
POR110_0819,C9_S,POR110_0819,2019August,2019-08,2019Y,thermal.stress,POR110,POR110,BAK2,2,BAK,819,no,1377913.534
POR110_1020,D9_S,POR110_1020,2020October,2020-10,2020Y,normal,POR110,POR110,BAK2,2,BAK,1020,no,NA
POR112_0319,B2,POR112_0319,2019March,2019-03,2019Y,thermal.stress,POR112,POR112,FRG1,1,FRG,319,no,NA
POR112_0818,A2,POR112_0818,2018August,2018-08,2018Y,normal,POR112,POR112,FRG1,1,FRG,818,no,NA
POR112_0819,C2,POR112_0819,2019August,2019-08,2019Y,thermal.stress,POR112,POR112,FRG1,1,FRG,819,no,NA
POR112_1020,D2,POR112_1020,2020October,2020-10,2020Y,normal,POR112,POR112,FRG1,1,FRG,1020,no,NA
POR116_0319,F5,POR116_0319,2019March,2019-03,2019Y,thermal.stress,POR116,POR116,BAK2,2,BAK,319,no,NA
POR116_0818,E5,POR116_0818,2018August,2018-08,2018Y,normal,POR116,POR116,BAK2,2,BAK,818,no,NA
POR116_0819,G5,POR116_0819,2019August,2019-08,2019Y,thermal.stress,POR116,POR116,BAK2,2,BAK,819,no,1035812.166
POR116_1020,H5,POR116_1020,2020October,2020-10,2020Y,normal,POR116,POR116,BAK2,2,BAK,1020,no,NA
