SampleID,PorMVP_AminoType1,PorMVP_AminoType100,PorMVP_AminoType102,PorMVP_AminoType105,PorMVP_AminoType109,PorMVP_AminoType12,PorMVP_AminoType124,PorMVP_AminoType125,PorMVP_AminoType128,PorMVP_AminoType13,PorMVP_AminoType133,PorMVP_AminoType138,PorMVP_AminoType15,PorMVP_AminoType152,PorMVP_AminoType158,PorMVP_AminoType16,PorMVP_AminoType164,PorMVP_AminoType176,PorMVP_AminoType182,PorMVP_AminoType184,PorMVP_AminoType189,PorMVP_AminoType198,PorMVP_AminoType2,PorMVP_AminoType20,PorMVP_AminoType202,PorMVP_AminoType207,PorMVP_AminoType210,PorMVP_AminoType214,PorMVP_AminoType219,PorMVP_AminoType220,PorMVP_AminoType243,PorMVP_AminoType245,PorMVP_AminoType254,PorMVP_AminoType259,PorMVP_AminoType28,PorMVP_AminoType285,PorMVP_AminoType29,PorMVP_AminoType293,PorMVP_AminoType3,PorMVP_AminoType30,PorMVP_AminoType309,PorMVP_AminoType31,PorMVP_AminoType314,PorMVP_AminoType315,PorMVP_AminoType316,PorMVP_AminoType327,PorMVP_AminoType334,PorMVP_AminoType345,PorMVP_AminoType369,PorMVP_AminoType373,PorMVP_AminoType377,PorMVP_AminoType395,PorMVP_AminoType4,PorMVP_AminoType418,PorMVP_AminoType42,PorMVP_AminoType420,PorMVP_AminoType421,PorMVP_AminoType425,PorMVP_AminoType433,PorMVP_AminoType456,PorMVP_AminoType46,PorMVP_AminoType47,PorMVP_AminoType471,PorMVP_AminoType477,PorMVP_AminoType490,PorMVP_AminoType499,PorMVP_AminoType506,PorMVP_AminoType508,PorMVP_AminoType510,PorMVP_AminoType54,PorMVP_AminoType6,PorMVP_AminoType60,PorMVP_AminoType626,PorMVP_AminoType64,PorMVP_AminoType644,PorMVP_AminoType650,PorMVP_AminoType668,PorMVP_AminoType674,PorMVP_AminoType679,PorMVP_AminoType683,PorMVP_AminoType693,PorMVP_AminoType702,PorMVP_AminoType704,PorMVP_AminoType705,PorMVP_AminoType713,PorMVP_AminoType72,PorMVP_AminoType73,PorMVP_AminoType731,PorMVP_AminoType749,PorMVP_AminoType752,PorMVP_AminoType755,PorMVP_AminoType757,PorMVP_AminoType761,PorMVP_AminoType763,PorMVP_AminoType77,PorMVP_AminoType8,PorMVP_AminoType84,PorMVP_AminoType88,PorMVP_AminoType89,PorMVP_AminoType92,PorMVP_AminoType99,Plutea_AminoType4,Plutea_AminoType9,Pdamicornis_AminoType3,PVID_AminoType52,PVID_AminoType2,Plutea_AminoType7,Plutea_AminoType5,Atenuis_AminoType1,Atenuis_AminoType3,Plutea_AminoType6,Plutea_AminoType17,Plutea_AminoType23,Plutea_AminoType22,Plutea_AminoType11,Plutea_AminoType16,Plutea_AminoType10,Plutea_AminoType20,PVID_AminoType8,PVID_AminoType6,PVID_AminoType23,PVID_AminoType30,PVID_AminoType15,PVID_AminoType70,PVID_AminoType64,PVID_AminoType18,PVID_AminoType75,PVID_AminoType62,PVID_AminoType29,Plutea_AminoType13,Plutea_AminoType15,Plutea_AminoType19,Plutea_AminoType21,Gfascicularis_AminoType1,Plutea_AminoType1,Atenuis_AminoType2,Plutea_AminoType24,Plutea_AminoType8,Plutea_AminoType2,Plutea_AminoType18,Plutea_AminoType14,Plutea_AminoType12,Plutea_AminoType3,ASM94037.1_putative,AOS87317.1_putative,AOG17586.1_putative,YP_009336877.1,Pcylindrica_AminoType2,Pcylindrica_AminoType1,Ffungites_AminoType1,Pdamicornis_AminoType1,Pdamicornis_AminoType2,PVID_AminoType1,Pdamicornis_AminoType4,BAU51723.1_HcRNAV659,BAE47070.1_HcRNAV34UA,BAE47072.1_HcRNAV109CY
POR10_0319,0.000122926,0,0,0.000131706,0,6.15E-05,0,0,0,0,5.27E-05,0,0,2.63E-05,0,1.76E-05,0,0,1.76E-05,1.76E-05,0,6.15E-05,0,8.78E-06,0,2.63E-05,0,0,0,0,0,0,0,0,0.004715076,0,0,0,0.684590394,0,0,0,0,0,0,0,0,4.39E-05,0,0,8.78E-06,0.000307314,3.51E-05,8.78E-06,0,0,0,0,0,0,0.000272192,5.27E-05,0.029028009,0,0,0,0,0,0,0,0.000114145,0,1.76E-05,0,0,0.00021951,0,0,0,3.51E-05,6.15E-05,0,0,0,0.001501449,0,0.000272192,0,0,0,0.26047941,0,0,0,8.78E-06,0.000368777,0,8.78E-06,8.78E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POR10_0818,3.44E-05,0,0,0,0,0,0,0,0,0,1.72E-05,0,0,8.61E-06,0,0,0,0,0,0,0,2.58E-05,0,1.72E-05,0,0,0,0,0,5.16E-05,0,0,0,0,0.00034429,0,0,0,0.935772631,8.61E-06,0,0,0,0,0,0,0,4.30E-05,0,0,0,0.000645544,8.61E-06,0,0,0,0,0,0,0,6.89E-05,0,8.61E-06,0,0,0,0,0,0,0,6.89E-05,0,2.58E-05,0,0,0.000120502,0,8.61E-06,0,0,0,0,0,0,0.001687023,0,0.000258218,0,8.61E-06,0,0.021845224,0,0,0,2.58E-05,0.000456185,0,0,6.03E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POR10_0819,3.71E-05,0,0,0,0,9.27E-06,0,6.49E-05,0,9.27E-06,9.27E-06,0,0,0,0,0,0,0,0,0,0,0,0,1.85E-05,0,5.56E-05,5.56E-05,0,0,0,0,0,0,0,0.002011643,9.27E-06,0,0,0.861660116,0,0,0,0,0,0,0,9.27E-06,0,0,0,0,0.000621106,0,0,0,0,0,0,0,7.42E-05,0.000111243,3.71E-05,0.033428508,0,0,0,0,0,0,0,9.27E-05,0,3.71E-05,0,0,0.000222486,1.85E-05,0,0,9.27E-06,9.27E-06,0,0,0,0.002280481,0,0.000241026,0,4.64E-05,0,0.080641872,3.71E-05,0,0,9.27E-06,0.000407891,0,0,1.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POR10_1020,9.44E-05,0,0,0.000247808,0,0,0,0,0,0.001321643,3.54E-05,1.18E-05,7.08E-05,1.18E-05,0,1.18E-05,0,0,1.18E-05,0,1.18E-05,1.18E-05,0,0,0,0.001132837,0,0,0,0.000129804,0,0,0,0,0.010384339,0,0,0,0.489668763,0,0,0,0,0,0,0,0,4.72E-05,0,0,0,0.000330411,0.000188806,0,0,0,0,0,0,4.72E-05,0.00030681,0,0.161936679,2.36E-05,0,0,3.54E-05,0,0.000283209,0,8.26E-05,0,0,0,0,7.08E-05,0,0,0,9.44E-05,3.54E-05,0,0,0,0.00061362,0,0.000554618,0,1.18E-05,0,0.254310091,0,0,0,0,0.000507417,0,1.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POR107_0319,0.000303004,0,5.83E-06,0,0,7.58E-05,4.08E-05,0,1.17E-05,0,0,0,0.000536084,0.002744515,0,0,0,0.001905428,0,0.000885703,0,0,2.91E-05,0.007173033,0.000728375,0.000168983,0,0,1.75E-05,0.00046616,0,0,1.17E-05,5.83E-06,1.75E-05,1.75E-05,0,0,5.83E-06,0.001887947,0.00147423,0,0,5.83E-06,3.50E-05,5.83E-06,0.001392652,0.000996416,0,0.000139848,5.83E-06,0,0.003012557,0.001905428,0,0,0,5.83E-06,5.83E-06,0.00011654,2.33E-05,0,0,0,0,0,0,0,0,0,0,0,0.008396702,1.75E-05,0.001579116,5.83E-06,0,0,0,0,0.00106634,0,0,0,0,5.24E-05,0.321224835,0,1.17E-05,0,0,0,0,0,5.83E-06,0.553605454,0,0.008985229,0.00052443,0.001981179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POR107_0818,0.000350851,0,0,0,0,5.23E-05,0,0,1.49E-05,0,4.48E-05,0,0.000343386,5.23E-05,0,0,7.46E-06,0.00091072,7.46E-06,1.49E-05,0,7.46E-06,0,0.001604957,7.46E-06,0,0,2.24E-05,0,9.70E-05,0,0,0,1.49E-05,7.46E-06,0,0,0,0,0.002553001,0.004202747,0,0,0,0.000141833,0,0.001007764,0.000522544,0,0,0,2.99E-05,0.003807107,0.001433264,0,0,0,2.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006397432,0,0.001000299,5.97E-05,0,0,0,0,0.001254106,0,0,0,0,5.23E-05,0.389429681,0,7.46E-06,0,0,0,0,0,0,0.516482532,0,5.23E-05,0.000709167,0.001702001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POR107_0819,0.000537102,0,9.26E-06,0,0,9.26E-05,0,0,1.85E-05,0,9.26E-06,0,0.000305592,5.56E-05,0,0,1.85E-05,0.001037162,0,2.78E-05,0,0,0,0.000963079,0,0.000129645,0,0,0,0.000203728,9.26E-06,0,2.78E-05,0,0,0,0,9.26E-06,9.26E-06,0.005546964,0.00148166,9.26E-06,0,9.26E-06,0.000277811,9.26E-06,0.001037162,0.000398196,0,0,0,0,0.004380157,0.001555743,0,9.26E-06,0,9.26E-06,9.26E-06,0,9.26E-06,0,0,0,2.78E-05,0,0,0,0,0,0,0,0.008510284,9.26E-06,0.000713049,9.26E-06,0,0,0,0,0.001472399,0,4.63E-05,0,0,0,0.364229028,0,9.26E-06,0,0,0,0,0,9.26E-06,0.50890385,0,0.000101864,0.000592664,0.00149092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POR107_1020,0.007039695,0,0,0,0,7.52E-05,0,0,2.51E-05,0,6.26E-05,0,0.000400837,0.000112735,0,0,2.51E-05,0.000989566,0,0,0,0,0,0.000764095,0.000501046,0.000187892,0,0,3.76E-05,0.000175366,0.000237997,0,1.25E-05,0,0,0,0,0,3.76E-05,0.003695214,0.001553242,0,0,0,8.77E-05,0,0.001052196,0.001465559,0,0,0,1.25E-05,0.012839302,0.001114827,0,0,0,0,0,0,3.76E-05,0,0,0,0,0,0,0,0,0,0,0,0.004384152,0,0.00097704,0.000450941,0,0,0,0,0.00103967,0,0,0,0,5.01E-05,0.392744855,0,0,8.77E-05,0,0,0,0,0,0.455400649,0,0.003770371,0.000926935,0.002079341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POR110_0319,0.000164221,1.64E-05,2.46E-05,0,9.85E-05,0.000574774,0,8.21E-06,0,0,0,5.75E-05,0.000164221,0.000114955,0,0.000985327,0.159064596,0.000968905,0,0,0,0,0,0.001141337,0,8.21E-06,0,0,0,8.21E-06,0,8.21E-06,0,0,0,0.000114955,0,0,0,0.001404091,0.001190603,0.001748955,0,0,0,0,0.000730784,0.000287387,0,0,8.21E-06,0,0.005197599,0.001305558,4.11E-05,2.46E-05,0.001445146,0,3.28E-05,0,0,0,0,2.46E-05,0,0,0,0,0.002044553,0.000459819,0,0,0.008399911,0,0.000895005,3.28E-05,8.21E-06,0,0,0,0.000591196,0,0,2.46E-05,0,0.034330429,0.156691601,0,8.21E-06,0,0,0,0,0,0.006790544,0.547882779,0,5.75E-05,0.000287387,0.001445146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POR110_0818,0.000124425,0.000114853,0,0,0.000153138,5.74E-05,0,0,0,0,0,4.79E-05,9.57E-05,1.91E-05,1.91E-05,0.001167676,0.102171687,0.000612552,0,0,2.87E-05,0,0,0.000947541,0,0.001138963,0,0,2.87E-05,1.91E-05,0,0,0,0,0,9.57E-06,0,1.91E-05,9.57E-06,0.000526412,0.001512237,0.090954336,0,0,0,0,0.000239278,0.000133996,0,3.83E-05,0.000526412,0,0.003799734,0.000660407,0,9.57E-06,0.000114853,0,0,0,0,0,0,0.000162709,0,0,6.70E-05,0,0.001617519,5.74E-05,0,0,0.002756482,0,0.000564696,1.91E-05,0,9.57E-06,0,0,0.000239278,0,0,0,0,0.000181851,0.080244255,0,0,0,0,0,0,0,0.2339277,0.41581723,0,0.017658713,9.57E-05,0.001177248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
